"TOA5","8321","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20210628.CR6","65065","FCRWaterLevel"
"TIMESTAMP","RECORD","Lvl_psi","wtr_pt_9"
"TS","RN","psi","deg C"
"","","Smp","Smp"
"2021-06-29 07:00:00",102,13.06958,9.769079
"2021-06-29 07:10:00",103,13.07001,9.783604
"2021-06-29 07:20:00",104,13.06927,9.775857
"2021-06-29 07:30:00",105,13.07012,9.768021
"2021-06-29 07:40:00",106,13.06995,9.763881
"2021-06-29 07:50:00",107,13.07049,9.76399
"2021-06-29 08:00:00",108,13.07036,9.763398
"2021-06-29 08:10:00",109,13.07056,9.762574
"2021-06-29 08:20:00",110,13.07082,9.782061
"2021-06-29 08:30:00",111,13.07074,9.767018
"2021-06-29 08:40:00",112,13.06996,9.764114
"2021-06-29 08:50:00",113,13.07073,9.765513
"2021-06-29 09:00:00",114,13.07216,9.76682
"2021-06-29 09:10:00",115,13.0715,9.765871
"2021-06-29 09:20:00",116,13.07239,9.777326
"2021-06-29 09:30:00",117,13.07139,9.767718
"2021-06-29 09:40:00",118,13.07134,9.767466
"2021-06-29 09:50:00",119,13.0722,9.772216
"2021-06-29 10:00:00",120,13.07117,9.769115
"2021-06-29 10:10:00",121,13.07218,9.767162
"2021-06-29 10:20:00",122,13.07266,9.76451
"2021-06-29 10:30:00",123,13.07318,9.764293
"2021-06-29 10:40:00",124,13.07212,9.764311
"2021-06-29 10:50:00",125,13.07413,9.767322
"2021-06-29 11:00:00",126,13.0723,9.768057
"2021-06-29 11:10:00",127,13.07382,9.767501
"2021-06-29 11:20:00",128,13.07501,9.769223
"2021-06-29 11:30:00",129,13.07386,9.768899
"2021-06-29 11:40:00",130,13.07396,9.766695
"2021-06-29 11:50:00",131,13.07304,9.767591
"2021-06-29 12:00:00",132,13.0737,9.763361
"2021-06-29 12:10:00",133,13.07265,9.76019
"2021-06-29 12:20:00",134,13.07561,9.766301
"2021-06-29 12:30:00",135,13.07655,9.767
"2021-06-29 12:40:00",136,13.07135,9.77209
"2021-06-29 12:50:00",137,13.07499,9.767214
"2021-06-29 13:00:00",138,13.07319,9.772522
"2021-06-29 13:10:00",139,13.07555,9.783353
"2021-06-29 13:20:00",140,13.07716,9.774403
