DataStream, TIMESTAMP_start, TIMESTAMP_end, parameter, colnumber, flag, notes
CAT, 2020-12-02 12:50:00 EST, 2020-12-27 12:40:00 EST, EXO_*, c(21:39), 1, EXO sent for cleaning and calibration
CAT, 2021-01-07 09:40:00 EST, 2021-01-07 09:55:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2021-01-07 10:00:00 EST, 2021-01-07 11:40:00 EST, All_Cat, c(1:41), 1, troubleshooting broken thermistors
CAT, 2021-02-08 14:25:00 EST, 2021-02-08 14:35:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2021-02-08 14:30:00 EST, 2021-02-26 12:00:00 EST, wtr_1, 6, 1, thermistor broken removed and replaced
CAT, 2021-02-08 14:30:00 EST, 2021-02-26 12:00:00 EST, wtr_4, 9, 1, thermistor broken removed and replaced
CAT, 2021-02-26 10:40:00 EST, 2021-02-26 14:00:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning and testing Sunappee Temp String
CAT, 2021-03-22 10:50:00 EST, 2021-03-22 11:40:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning and calibrate DO and depth
CAT, 2021-04-16 11:50:00 EST, 2021-04-16 12:40:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning and calibration
CAT, 2021-04-16 11:50:00 EST, 2021-04-26 13:10:00 EST, fdom, c(33:34), 4, bad fdom calibration
CAT, 2021-04-26 10:55:00 EST, 2021-04-26 11:10:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2021-05-06 13:25:00 EST, 2021-05-06 13:50:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2021-05-14 13:45:00 EST, 2021-05-14 14:00:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2021-05-24 10:15:00 EST, 2021-05-24 10:40:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2021-05-31 10:55:00 EST, 2021-05-31 11:20:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2021-06-07 10:25:00 EST, 2021-06-07 10:35:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
