DOY,IR_down_average,IR_down_sd
319,361.261,9.788
320,365.287,8.6
321,363.718,13.39
322,368.799,11.307
323,373.437,17.065
324,356.35,11.612
325,353.937,9.444
326,354.875,5.481
327,344.457,6.203
328,347.748,8.961
329,351.47,9.269
330,354.74,7.091
331,356.804,9.652
332,362.094,15.848
333,367.109,14.542
334,356.298,7.213
335,354.104,5.652
336,358.542,12.666
337,350.166,7.388
338,346.959,7.428
339,351.124,10.176
340,347.061,6.298
341,349.969,9.101
342,345.726,8.319
343,343.27,10.16
344,346.133,14.971
345,352.007,17.724
346,357.175,22.42
347,352.887,29.08
348,359.642,26.455
349,350.452,24.01
350,345.951,16.798
351,350.393,16.414
352,346.992,8.153
353,344.719,6.066
354,340.423,11.321
355,331.943,17.942
356,344.351,23.905
357,355.058,22.435
358,350.746,25.21
359,353.14,27.175
360,350.729,24.805
361,349.69,28.18
362,344.774,26.886
363,336.156,25.015
364,340.87,22.498
365,335.688,23.228
366,325.403,9.327
