DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	co2_mean	h2o_mean	air_p_mean	vin_sf_mean	dew_point_mean	avg_signal_strength_7200_mean	co2_signal_strength_7200_mean	h2o_signal_strength_7200_mean	delta_signal_strength_7200_mean	flowrate_mean	hit_power_mean	hit_vin_mean	ch4_mean	rssi_77_mean	ch4_aux-1_mean	ch4_aux-2_mean	ch4_aux-3_mean	ch4_aux-4_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	207
DATA	2025-01-18T233000_AIU-0547.ghg	2025-01-19	00:00:00	19	0	18000	18000	0.026961231584110054	1	NaN	12.503882100688127	1	NaN	9.110770691767877	1	NaN	-2.466241165178448	1	NaN	0.20272876858494582	1	NaN	0.004256563196487644	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.822624121576449e-11	6.099944890311753e-13	2.034062888506429e-13	NaN	17.899536825180395	438.81065006645645	441.9050069228564	0.1	1	285.6315052777877	7.002312279616393	7.051690418022567	0.1	1	0.09524552354506323	2.123191389409966	2.138163477786296	0	1	NaN	NaN	NaN	NaN	9	275.73249821302625	275.76628460184736	94492.04468988716	1.1905844760822921	1008.9855117699694	0.02426363931169259	0.013136824204304488	0.005200442844526588	661.8402889011845	735.4942843163154	0.004367974678822486	89.98578276055584	73.65399541513091	274.2554990282375	1.4886420043441924	0.5454085813565733	0.19571139924538475	1.5974443619449985	-1.037929673758444e-14	2.135599462103916e-15	1.5974443619449985	3.367011823075299	311.87817876610836	20.121821233891605	7.037290889926865	NaN	0.15048380214968907	0.30470419724351555	-22.81365164701633	-0.12711687041032182	1.3724285819185558	0.06916875660057992	1	25.527016721912606	11	21	36	57	96	245	0.026700671031109714	1.0097585769547421	12.842248258849999	1.0134863564300027	8.369158432062784	1.0886125248703533	-2.2654903455866093	1.0886125248703533	0.1862267463890235	1.0886125248703533	-0.000562107520602354	1.1484327639294607	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800100009	899999999	899999999	89999	89999	89	89	0	1	4	11	10	0	0	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	11907	0	0	0	18000	18000	18000	18000	93	NaN	0.3657260206191371	0.2256543088801957	0.018028064987698232	0.4275149113619597	7.884159822183392	0.03709866465737096	9.66022994121644e-8	NaN	0.010690448249132494	-0.05535676997600573	0.004550410547244162	-5.621075206023541e-7	NaN	438.8122544699003	7.002274653442532	94891.74904166666	11.40999984741211	1.097372001975742	94.02643132570056	95.51984073469374	92.5330236324734	2.986815977242257	0.0002723566085349173	-1	0	2.116837768024868	61.944813894165854	1.0000126876317792	-273.1499938964844	9.00007482345416	-273.1499938964844	252
DATA	2025-01-19T000000_AIU-0547.ghg	2025-01-19	00:30:00	19.02	0	18000	18000	0.015532149634920382	1	NaN	-4.9312112052565045	1	NaN	1.7503784940844915	2	NaN	1.062131549614638	1	NaN	0.03895834006575627	2	NaN	-0.0031710202462287072	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.2427274262986745e-10	-2.0210207242003553e-12	-6.611038751193853e-13	NaN	17.814423727221275	437.1545377106861	440.2846754175619	0.2	0	289.7121185265269	7.10934965862083	7.160254410872404	0.1	1	0.09476884721343717	2.1152524671777586	2.130398212985977	0	1	NaN	NaN	NaN	NaN	9	276.08512870279947	276.0284419487847	94463.79699891493	1.1890498877166256	1009.0482210873879	0.024293968051999397	0.0025245004362610063	0.005273345332848175	671.7563061427554	749.3176541810685	0.004434923536282204	89.64906970955062	77.5613480383131	274.4623095728913	1.4210674345427223	0.10196520554136175	0.1865623755457661	1.4368838076295902	-2.394839579217062e-14	-6.975961980738836e-15	1.4368838076295902	2.643836695916034	327.89591553259675	4.104084467403344	7.460241344155547	NaN	0.11429197691548558	0.24023338131619626	25.33848787330229	0.11445039713895332	-2.817225658291522	-0.0359605116058502	1	28.167260315078	12	26	55	104	229	1023	0.015390983115066408	1.0091720274656	-4.769629383574269	1.0175264787365694	1.5343365775711912	1.140804774957062	0.9310370827073501	1.140804774957062	0.03414987465074609	1.140804774957062	-0.0014216529664869686	1.246484973805699	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800100009	899999999	899999999	89999	89999	89	89	0	0	3	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	13306	17997	0	0	18000	18000	18000	18000	93	NaN	0.2014032246846292	0.259973273388654	0.019090264559109366	0.47064028315495193	10.884555064459375	0.04436813809529212	8.446168197651014e-8	NaN	-0.003975324972217539	0.022780583720365198	0.0008355779731770689	-0.0000014216529664869687	NaN	437.15480536452264	7.109304828666061	94861.68887760417	11.40999984741211	1.303135743614673	94.01295324283176	95.50589748043484	92.52000882551404	2.985888912267155	0.0002728883320750255	-1	0	2.1088286757601624	63.54361909675603	1.0000361791137191	-273.1499938964844	9.00023397831122	-273.1499938964844	091
DATA	2025-01-19T003000_AIU-0547.ghg	2025-01-19	01:00:00	19.041	0	18000	18000	0.0051121709918630995	1	NaN	-14.543106489450134	1	NaN	-0.6323187815301764	2	NaN	3.0016662321001375	1	NaN	-0.014066423649878024	2	NaN	-0.0018098790496475347	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.233130135613096e-11	-5.102017720724247e-13	-1.7314281955098366e-13	NaN	17.760343515445612	435.2528171899843	438.26301607854367	0.1	0	280.2658214831507	6.868475728328044	6.915977955049957	0.1	1	0.09511141907299558	2.117451495285142	2.132095743147422	0	1	NaN	NaN	NaN	NaN	9	275.4529091042412	275.49328742472323	94462.7519266493	1.1914552770857474	1008.9079167604324	0.02424713598676114	-0.0009115042525120959	0.005104517696964514	648.98915662662	721.3396384718363	0.004284271340381288	89.96998390404673	72.35048184521634	273.9833532425899	1.3924517145140582	0.5666603773291945	0.19838885089436556	1.5163719519455219	-2.8006090139363224e-14	-1.8204209467014782e-15	1.5163719519455219	2.936791267729384	309.8560585949172	22.143941405082785	7.517630195945101	NaN	0.06550339552429166	0.16617331292202075	1.6173244730732943	1.7930848436920777	22.999643398629757	-0.18469880938320687	1	110.65117562938474	49	107	233	466	1105	5811	0.004919248414616713	1.0392178969196086	-13.536341979710224	1.078495851054318	-0.3897764690549124	1.6222600175514807	1.8502990886939508	1.6222600175514807	-0.008670881053401564	1.6222600175514807	0.0016432048071977573	2.0806205550784376	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800000009	899999999	899999999	89999	89999	89	89	11	0	1	9	7	0	0	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	12813	18000	0	0	18000	18000	18000	18000	93	NaN	0.15546161342218895	0.14881716266321157	0.028067849758640948	0.45436521852015826	8.349899880964466	0.018105891521424854	5.8279104687645714e-8	NaN	-0.011260872538361007	0.04517481899745965	-0.00021169846784738273	0.0000016432048071977574	NaN	435.2528947327585	6.868456691654214	94856.20613975695	11.40999984741211	0.8266822750551761	94.07321349292332	95.57362966071234	92.57279550340441	3.0008340532647235	0.0002720161192102953	-1	0	2.1112297113272875	63.85985738245639	1.0000282989756928	-273.1499938964844	9.000155436038972	-273.1499938964844	047
DATA	2025-01-19T010000_AIU-0547.ghg	2025-01-19	01:30:00	19.062	0	18000	18000	0.01272582533325919	0	NaN	-0.07957218446788866	2	NaN	1.3239546350444376	0	NaN	-0.5115994376965693	1	NaN	0.02942819515897613	0	NaN	0.003213275635922096	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1670819209319083e-10	-1.7618626718495452e-12	-6.271133747158886e-13	NaN	17.835064778504602	435.65150429998556	438.53563421743115	0.1	1	269.24360937897825	6.576728759094778	6.620268469128624	0.1	1	0.0958339552770525	2.124766437007697	2.1388329612548818	0.5	0	NaN	NaN	NaN	NaN	9	274.5872705722385	274.62748397488065	94465.28144791667	1.195375720468373	1008.7352915684896	0.02417028633981286	0.0019069470463016532	0.004903237495960259	621.4391830148259	678.0298376920563	0.004101837951032725	91.65366307921504	56.59065467723042	273.38347332821183	1.5276555006735753	0.6910567625880668	0.21267279239153242	1.6901244020723867	-5.9667550965249975e-15	-6.543749268230937e-15	1.6901244020723867	3.13709648216053	307.65970360637505	24.340296393624975	7.22884143396862	NaN	0.10317886917800595	0.18977690240628123	1155.1966868648933	0.002510395011493979	-0.06010189651643002	-0.0006395711587474762	1	43.58816223183159	19	38	73	127	248	849	0.012637962218849021	1.006952316590971	-0.010357067146526445	1.0121199868362587	1.2068278582515577	1.0970534248045716	-0.4663395839520809	1.0970534248045716	0.026824760302095997	1.0970534248045716	0.002940061808953426	1.168000907786702	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800000009	899999999	899999999	89999	89999	89	89	5	5	0	17	9	0	0	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	14208	604	0	0	18000	18000	18000	18000	93	NaN	0.1850063428164392	0.17157987905762287	0.022967582938500354	0.20411778481370974	6.037186080514383	0.004675112969469393	5.8021472960666254e-8	NaN	-0.00000858924807070816	-0.011346202186200431	0.0006526556279108805	0.0000029400618089534258	NaN	435.6519492332841	6.5767230129724075	94858.4525388455	11.40999984741211	0.22840616643061568	94.07415913942127	95.56081763670178	92.58749903318616	2.9733212365574295	0.0002718146405920075	-1	0	2.118777873330646	60.99055917506747	1.0000317263321743	-273.1499938964844	9.000197336647245	-273.1499938964844	096
DATA	2025-01-19T013000_AIU-0547.ghg	2025-01-19	02:00:00	19.083	0	18000	18000	0.011150213978859859	0	NaN	-0.6042933086895678	2	NaN	1.8300722232087567	2	NaN	-0.21014228047684883	2	NaN	0.04065817808998048	2	NaN	-0.0014516215517258108	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.4540608753449795e-11	-2.1280349921924804e-13	-7.817867430591896e-14	NaN	17.91313541230999	436.90630496022277	439.7179382127539	0.1	1	262.16081887378976	6.394174556442056	6.43532313590011	0.1	1	0.09631131701171396	2.1301686844103025	2.143877008228458	0	1	NaN	NaN	NaN	NaN	9	274.056597624037	274.1159462212457	94448.19986414931	1.1974727596002799	1008.6279407220862	0.024129628517657965	0.0026346499402307346	0.004775167897714657	604.0802711577611	653.5379734667628	0.003987704822035887	92.43231391029232	49.45770230900166	272.99328464182247	1.5189648943543526	0.9610373248873658	0.20239668095405564	1.8088149453630529	-2.961849091056266e-14	-8.117288469475545e-16	1.8088149453630529	3.2043841381742006	299.6787797628982	32.32122023710176	6.424544296031768	NaN	0.09649588188394986	0.1051980243929176	124.40883788287563	0.023310241051605972	-0.330201890955992	-0.005184923682866944	1	49.463874853579206	21	44	87	155	314	1162	0.011070748793756887	1.0071779413103281	-0.5041551714376235	1.0131964994842642	1.652996897521359	1.1071238100645677	-0.18980919619513312	1.1071238100645677	0.036724147489529	1.1071238100645677	-0.0012640691925698588	1.183692745585265	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800010009	899999999	899999999	89999	89999	89	89	0	8	1	13	3	0	0	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	17802	0	0	0	18000	18000	18000	18000	93	NaN	0.10199751559520708	0.08355908335576491	0.02483944983486321	0.09117734213741678	3.769135694439573	0.0035787260501991963	3.16074788451035e-8	NaN	-0.00041741455532653585	-0.004609507293766305	0.0008918441735368035	-0.0000012640691925698587	NaN	436.9062406229532	6.394170006021299	94841.98503363715	11.40999984741211	-0.16152155297603982	94.09840911738078	95.58364362165663	92.6131748184628	2.9704679145415644	0.00027098801512814445	-1	0	2.1243266257709923	59.07938408618538	1.0000073187417453	-273.1499938964844	9.00007490638892	-273.1499938964844	023
DATA	2025-01-19T020000_AIU-0547.ghg	2025-01-19	02:30:00	19.104	0	18000	18000	0.0188594246483301	0	NaN	6.202581716816081	0	NaN	3.61757436305406	1	NaN	-1.3596299307034256	0	NaN	0.08038647393062243	1	NaN	0.0022401211280021894	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.993363527397811e-11	1.0520252042114988e-12	3.77130630746033e-13	NaN	17.879851993473267	436.33255869805424	439.2154967878532	0.1	0	268.97007242671106	6.563835089797623	6.607203685191926	0.6	0	0.09642055405138267	2.1347699222969534	2.1488747819945906	0	1	NaN	NaN	NaN	NaN	9	274.1996637734307	274.3242112291124	94465.63414019097	1.1967075572542871	1008.7240459881307	0.024143504809104852	0.005209043510704333	0.0048990530281314264	620.2231678339717	663.4132484850012	0.004093776293492924	93.48971689219952	43.19008065102946	273.3564565580164	1.5159709419376162	0.8835080129336818	0.2005487230729633	1.7660617475172036	-3.0565106526017324e-14	3.911309517523198e-15	1.7660617475172036	3.032471193484249	301.7663635182621	30.233636481737896	6.520403623587791	NaN	0.12553655396402594	0.14501460604965427	-26.692022169806258	-0.10864669531409464	1.7145692373769708	0.040930013177162966	1	37.68577471041826	17	31	53	84	143	367	0.01868602417332862	1.0092796880381318	6.321536094116257	1.0133516773519633	3.3191339601726697	1.0899151424626035	-1.2474640251638458	1.0899151424626035	0.0737548005333641	1.0899151424626035	-0.00011127676510015064	1.1490370296570873	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800100109	899999999	899999999	89999	89999	89	89	2	4	5	19	2	0	0	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	14304	0	0	0	18000	18000	18000	18000	93	NaN	0.14990727478079677	0.12140601245211687	0.018715924866394923	0.15176992474049802	6.978877467667101	0.007646886674109652	1.1448419138919813e-8	NaN	0.005236754501231028	-0.030317204198343484	0.0017924680017000123	-1.1127676510015064e-7	NaN	436.33364881219535	6.563826414244803	94866.67470160591	11.40999984741211	0.20197819851698676	94.02805593956843	95.50440273157756	92.55171050601535	2.952690402918391	0.000271220399508214	-1	0	2.1287633780770827	59.508601517571435	1.0000021541598771	-273.1499938964844	9.000049861749014	-273.1499938964844	240
DATA	2025-01-19T023000_AIU-0547.ghg	2025-01-19	03:00:00	19.124	0	18000	18000	0.009028697570479435	0	NaN	-3.118047680098233	1	NaN	-2.6779708865905985	1	NaN	0.17210543541677345	2	NaN	-0.05953385378504531	1	NaN	0.0011971408812183173	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.738609810620916e-13	1.1933280956083244e-14	4.177678242216422e-15	NaN	17.826134464576246	435.7669594133527	438.7150016372234	0.1	1	274.8869320620763	6.7197205768414685	6.765180700802703	0.8	0	0.09623415047141284	2.135383209398963	2.149829462676007	-0.3	0	NaN	NaN	NaN	NaN	9	274.72252811601425	274.7914964192708	94466.28149609375	1.1946101375592904	1008.816209695027	0.024184465240375614	-0.0038577937252709357	0.005006906940710596	634.9572904841579	686.0528207763243	0.004191247657533038	92.55224543288843	51.09553029216647	273.6806996278579	1.4807932974820366	0.8030893950315877	0.20236181496285452	1.696658972933267	9.101088921330218e-15	4.3411597876134804e-17	1.696658972933267	2.6287003783979555	303.5273729901127	28.472627009887265	6.850018281273434	NaN	0.08693596015902114	0.11154791107872683	17.63498583706639	0.16444583663370946	1.164332179902041	-0.02976083069273551	1	51.54368829789128	23	49	105	204	470	2297	0.008936600077328685	1.0103056523010796	-3.191851504029796	1.0205769316886635	-2.293209676210931	1.1677828304891023	0.14737794641550825	1.1677828304891023	-0.0509802441264792	1.1677828304891023	0.002066015163686322	1.2879351400381327	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800100009	899999999	899999999	89999	89999	89	89	4	0	2	14	3	0	0	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	16405	0	0	0	18000	18000	18000	18000	93	NaN	0.11648608823155912	0.0892243937219012	0.017385340203993356	0.11306663065375296	3.843588876291684	0.005407596191799608	1.4015998148174177e-8	NaN	-0.0026485271577038243	0.003588376175534189	-0.0012412731883956064	0.000002066015163686322	NaN	435.7669352865184	6.7197140388724055	94868.00889952257	11.40999984741211	0.5267007925046734	94.03781061935425	95.52373061498005	92.5518901685079	2.971838393025927	0.0002717786274927979	-1	0	2.129235850691795	59.97803006341729	1.000008323909508	-273.1499938964844	9.00011733004782	-273.1499938964844	120
DATA	2025-01-19T030000_AIU-0547.ghg	2025-01-19	03:30:00	19.145	0	18000	18000	0.013430857435447661	0	NaN	-5.4988779241367896	2	NaN	7.643799685042449	1	NaN	-1.0723133119338435	2	NaN	0.170002936010738	1	NaN	0.0009841548379027015	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1390511026146695e-10	-1.7933168039621213e-12	-6.155278370447693e-13	NaN	17.779085570704904	435.52503182935953	438.531995740147	0.1	1	279.9131034581114	6.856886019713066	6.9042275208778925	0.1	1	0.09607577799493996	2.1365650162156475	2.1513163472007486	0.1	0	NaN	NaN	NaN	NaN	9	275.1390468936496	275.2497166137695	94417.92985112846	1.1919490036726892	1008.8980635772086	0.024237198883041697	0.01101619025349582	0.005097993740471407	647.586644885767	708.9147843112049	0.0042770233665729235	91.34901108247792	61.32813942543794	273.9533644573021	1.6989264603952523	0.5369935247923691	0.254060257011719	1.7997943709471318	4.304203844026948e-14	-6.406691154529994e-15	1.7997943709471318	2.966974411450027	314.4593930206685	17.540606979331525	8.11501727600761	NaN	0.10615074148106343	0.11966282257021944	18.19736131554461	0.1593637643234985	-0.7193906369494627	-0.04307706274707543	1	42.76834505956491	19	41	86	167	382	1841	0.013300156040278116	1.0098270572746462	-5.030343405930494	1.0196357732414159	6.5848956143865225	1.1608080268337828	-0.9237645563656918	1.1608080268337828	0.14645224023341533	1.1608080268337828	0.0019952300710589697	1.2741512316760164	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800010109	899999999	899999999	89999	89999	89	89	2	5	3	1	0	0	0	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	12607	0	0	0	18000	18000	18000	18000	93	NaN	0.11256477756248293	0.11214747523157285	0.014613392346383107	0.32479677704103377	14.365365631510947	0.020915130713941067	1.4128639221957615e-8	NaN	-0.004183046290229548	-0.0225440889873967	0.0035741058838792395	0.0000019952300710589695	NaN	435.5251362129439	6.856864250648731	94816.84249533419	11.40999984741211	0.7971136065373826	94.03211174986097	95.52282402971055	92.54139694976807	2.981427202979725	0.000272671665957508	-1	0	2.1302983552879753	60.77052264849339	1.000007909975118	-273.1499938964844	9.000058302058115	-273.1499938964844	202
DATA	2025-01-19T033000_AIU-0547.ghg	2025-01-19	04:00:00	19.166	0	18000	18000	0.01620813434159041	1	NaN	4.0138542998521425	1	NaN	1.1976100221909487	2	NaN	-2.38573627922781	1	NaN	0.026637382028266935	2	NaN	0.002725118059537676	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.554652756167799e-11	5.631455677326043e-13	1.922003428241348e-13	NaN	17.76516463071479	435.5446284793631	438.5708163019964	0.1	1	281.44447314771134	6.900112160106557	6.948054515558446	0.1	1	0.09605637924621503	2.1369238192899127	2.1517712824819344	0	0	NaN	NaN	NaN	NaN	9	275.254918015374	275.3199987114801	94373.78764887151	1.1910680939060287	1008.9228222394241	0.024254727147370318	0.0017261023554316973	0.00512642432545463	651.3643945002058	712.480369137581	0.0043040564613252815	91.42208300961993	61.11597463737519	274.0340104326014	1.6971831632306162	0.32592980654506126	0.25970323586858385	1.747600268673768	7.007234912856546e-15	2.0009118013024437e-15	1.747600268673768	3.076381252856222	321.1291747300555	10.870825269944476	8.546129321435885	NaN	0.11665361945213815	0.1869547229097932	-33.07539098660953	-0.08767847978498747	3.3515536990155277	0.02863313154160633	1	41.37407768887914	18	34	59	94	162	425	0.01605836539835412	1.0093265372608624	4.032163447879953	1.0133620275654733	1.0989583088447696	1.0897683857087193	-2.189214066506684	1.0897683857087193	0.024443159094713136	1.0897683857087193	0.0012106581147012256	1.1489624566624899	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800000109	899999999	899999999	89999	89999	89	89	0	0	0	2	0	0	0	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	14010	0	0	0	18000	18000	18000	18000	93	NaN	0.2284872445987029	0.13381487408752732	0.011607327133356235	0.1807985137926076	8.087832512234995	0.01387403279430947	1.4113361300466773e-8	NaN	0.003355394523014705	-0.0534678227871256	0.0005969825056528564	0.0000012106581147012255	NaN	435.5446741008862	6.900097326991553	94772.12606141492	11.40999984741211	0.8786237768232725	94.03095881462096	95.52300942738852	92.53890700954861	2.984103648563228	0.00027197293317779745	-1	0	2.1306188991268478	60.771778512424845	1.0000105355481306	-273.1499938964844	9.000062191751269	-273.1499938964844	032
