"TOA5","8321","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20240305_chlatest.CR6","4835","EXO_Chla_overlap"
"TIMESTAMP","RECORD","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","Chla_RFU_test","Chla_ugL_test","BGAPC_RFU_test","BGAPC_ugL_test","EXO_wtr_1"
"TS","RN","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-01 09:10:00",39716,4.05,16.16,1.16,1.08,"NAN","NAN","NAN","NAN",3.818
"2026-01-01 09:20:00",39717,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-01-01 09:30:00",39718,4.05,16.19,1.12,1.04,"NAN","NAN","NAN","NAN",3.805
"2026-01-01 09:40:00",39719,4.04,16.15,1.09,1.01,"NAN","NAN","NAN","NAN",3.81
"2026-01-01 09:50:00",39720,3.83,15.28,1.11,1.03,"NAN","NAN","NAN","NAN",3.82
"2026-01-01 10:00:00",39721,3.71,14.81,1.03,0.95,"NAN","NAN","NAN","NAN",3.835
"2026-01-01 10:10:00",39722,3.93,15.72,1.13,1.05,"NAN","NAN","NAN","NAN",3.838
"2026-01-01 10:20:00",39723,3.6,14.35,1.14,1.06,"NAN","NAN","NAN","NAN",3.844
"2026-01-01 10:30:00",39724,3.72,14.85,1.11,1.03,"NAN","NAN","NAN","NAN",3.841
"2026-01-01 10:40:00",39725,4.01,16.04,1.08,1,"NAN","NAN","NAN","NAN",3.843
"2026-01-01 10:50:00",39726,4.03,16.1,1.19,1.11,"NAN","NAN","NAN","NAN",3.859
"2026-01-01 11:00:00",39727,4.24,16.95,1.25,1.16,"NAN","NAN","NAN","NAN",3.902
"2026-01-01 11:10:00",39728,3.38,13.49,1.2,1.12,"NAN","NAN","NAN","NAN",3.898
"2026-01-01 11:20:00",39729,4.03,16.09,1.28,1.19,"NAN","NAN","NAN","NAN",3.943
"2026-01-01 11:30:00",39730,3.76,15.01,1.19,1.1,"NAN","NAN","NAN","NAN",3.951
"2026-01-01 11:40:00",39731,4.32,17.28,1.2,1.12,"NAN","NAN","NAN","NAN",3.859
"2026-01-01 11:50:00",39732,3.73,14.9,1.07,0.99,"NAN","NAN","NAN","NAN",3.873
"2026-01-01 12:00:00",39733,3.82,15.23,1.11,1.03,"NAN","NAN","NAN","NAN",3.868
"2026-01-01 12:10:00",39734,4.03,16.11,1.2,1.12,"NAN","NAN","NAN","NAN",3.897
"2026-01-01 12:20:00",39735,4.75,19.01,1.6,1.51,"NAN","NAN","NAN","NAN",3.914
"2026-01-01 12:30:00",39736,4.02,16.07,1.22,1.14,"NAN","NAN","NAN","NAN",3.886
"2026-01-01 12:40:00",39737,4.16,16.64,1.21,1.13,"NAN","NAN","NAN","NAN",3.883
"2026-01-01 12:50:00",39738,3.93,15.68,1.23,1.14,"NAN","NAN","NAN","NAN",3.928
"2026-01-01 13:00:00",39739,3.51,13.98,1.01,0.93,"NAN","NAN","NAN","NAN",3.899
"2026-01-01 13:10:00",39740,3.94,15.73,1.23,1.15,"NAN","NAN","NAN","NAN",3.922
"2026-01-01 13:20:00",39741,4.1,16.37,1.16,1.08,"NAN","NAN","NAN","NAN",3.901
"2026-01-01 13:30:00",39742,4.22,16.85,1.1,1.02,"NAN","NAN","NAN","NAN",3.92
"2026-01-01 13:40:00",39743,3.95,15.78,1.22,1.14,"NAN","NAN","NAN","NAN",3.937
"2026-01-01 13:50:00",39744,4,15.99,1.15,1.07,"NAN","NAN","NAN","NAN",3.93
"2026-01-01 14:00:00",39745,4.3,17.21,1.11,1.03,"NAN","NAN","NAN","NAN",3.888
"2026-01-01 14:10:00",39746,3.98,15.91,1.1,1.02,"NAN","NAN","NAN","NAN",3.905
"2026-01-01 14:20:00",39747,4,15.97,1.25,1.17,"NAN","NAN","NAN","NAN",3.913
"2026-01-01 14:30:00",39748,4.16,16.62,1.21,1.12,"NAN","NAN","NAN","NAN",3.919
"2026-01-01 14:40:00",39749,4.02,16.06,1.23,1.15,"NAN","NAN","NAN","NAN",3.945
"2026-01-01 14:50:00",39750,3.88,15.5,1.14,1.06,"NAN","NAN","NAN","NAN",3.936
"2026-01-01 15:00:00",39751,3.99,15.95,1.11,1.03,"NAN","NAN","NAN","NAN",3.936
"2026-01-01 15:10:00",39752,3.84,15.35,1.12,1.04,"NAN","NAN","NAN","NAN",3.958
"2026-01-01 15:20:00",39753,3.75,14.97,1.09,1.01,"NAN","NAN","NAN","NAN",3.95
"2026-01-01 15:30:00",39754,4.26,17.03,1.25,1.17,"NAN","NAN","NAN","NAN",3.952
"2026-01-01 15:40:00",39755,3.65,14.58,1.06,0.98,"NAN","NAN","NAN","NAN",3.93
"2026-01-01 15:50:00",39756,3.32,13.23,0.93,0.86,"NAN","NAN","NAN","NAN",3.93
"2026-01-01 16:00:00",39757,4.07,16.26,1.13,1.05,"NAN","NAN","NAN","NAN",3.908
"2026-01-01 16:10:00",39758,4.11,16.41,1.25,1.17,"NAN","NAN","NAN","NAN",3.916
"2026-01-01 16:20:00",39759,3.35,13.36,1.09,1.01,"NAN","NAN","NAN","NAN",3.918
"2026-01-01 16:30:00",39760,4.05,16.18,1.16,1.08,"NAN","NAN","NAN","NAN",3.917
"2026-01-01 16:40:00",39761,3.74,14.93,1.19,1.11,"NAN","NAN","NAN","NAN",3.916
"2026-01-01 16:50:00",39762,4,15.99,1.08,1,"NAN","NAN","NAN","NAN",3.914
"2026-01-01 17:00:00",39763,3.44,13.74,1.1,1.02,"NAN","NAN","NAN","NAN",3.911
"2026-01-01 17:10:00",39764,3.53,14.09,1.06,0.98,"NAN","NAN","NAN","NAN",3.913
"2026-01-01 17:20:00",39765,3.04,12.1,1.06,0.98,"NAN","NAN","NAN","NAN",3.93
"2026-01-01 17:30:00",39766,4.29,17.15,1.34,1.26,"NAN","NAN","NAN","NAN",3.896
"2026-01-01 17:40:00",39767,4.78,19.14,1.56,1.47,"NAN","NAN","NAN","NAN",3.884
"2026-01-01 17:50:00",39768,4.53,18.11,1.41,1.32,"NAN","NAN","NAN","NAN",3.888
"2026-01-01 18:00:00",39769,4.64,18.56,1.43,1.34,"NAN","NAN","NAN","NAN",3.891
