Reservoir; Site; DataStream; TIMESTAMP_start; TIMESTAMP_end; start_parameter; end_parameter; flag;update_value;adjustment_code; notes
FCR;50; CAT; 2020-04-20 12:01:00 EST; 2020-04-20 12:02:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; scans cleaned temp string not recorded as cleaned
FCR;50; CAT; 2020-04-24 11:50:00 EST; 2020-04-24 12:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-05-01 00:00:00 EST; 2020-09-01 00:00:00 EST; EXOCond_uScm_1; EXOTDS_mgL_1;5; NA; NA; Flag high conductivity values if over 37 uScm. Something weird happening in the reservoir
FCR;50; CAT; 2020-05-11 10:20:00 EST; 2020-05-11 11:40:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-05-15 15:11:00 EST; 2020-05-15 15:12:00 EST; LvlPressure_psi_9; LvlTemp_C_9;5; NA; NA; added in pressure transducer at 9m
FCR;50; CAT; 2020-05-15 12:00:00 EST; 2020-05-15 12:05:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for installing pressure transducer and cleaning
FCR;50; CAT; 2020-05-15 14:55:00 EST; 2020-05-15 15:05:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for installing pressure transducer and cleaning
FCR;50; CAT; 2020-05-18 09:50:00 EST; 2020-05-18 10:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-05-25 10:05:00 EST; 2020-05-25 11:00:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-05-28 04:50:00 EST; 2020-06-09 00:00:00 EST; EXOCond_uScm_1; EXOTDS_mgL_1;2; NA; NA; high conductivity event not represenative of whole reservoir
FCR;50; CAT; 2020-06-08 12:30:00 EST; 2020-06-08 13:00:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-06-12 10:25:00 EST; 2020-06-12 10:45:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-06-13 22:50:00 EST; 2020-06-14 19:50:00 EST; EXOCond_uScm_1; EXOTDS_mgL_1;2; NA; NA; high conductivity event not represenative of whole reservoir
FCR;50; CAT; 2020-06-22 09:00:00 EST; 2020-06-22 09:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-06-29 11:20:00 EST; 2020-06-29 11:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
