DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	co2_mean	h2o_mean	air_p_mean	vin_sf_mean	dew_point_mean	avg_signal_strength_7200_mean	co2_signal_strength_7200_mean	h2o_signal_strength_7200_mean	delta_signal_strength_7200_mean	flowrate_mean	hit_power_mean	hit_vin_mean	ch4_mean	rssi_77_mean	ch4_aux-1_mean	ch4_aux-2_mean	ch4_aux-3_mean	ch4_aux-4_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	207
DATA	2026-04-02T233000_AIU-0547.ghg	2026-04-03	00:00:00	93	0	18000	18000	0.032148139942923544	1	NaN	-7.95004025756665	2	NaN	-6.9940964525716645	2	NaN	0.32131690743948743	2	NaN	-0.1578671560100468	2	NaN	-0.0059981120676446155	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.723206578013678e-10	9.365986609412778e-12	1.3305974946776235e-12	NaN	17.43397181111771	436.8595678028621	443.5235134438218	0.1	1	599.6105761866597	15.025010938464725	15.25420554361513	0.1	1	0.08518486772705286	2.03809443663307	2.0691839480867698	0	1	NaN	NaN	NaN	NaN	9	291.64667549472387	290.6818877758449	95996.53695746527	1.1439860696543458	1013.7151699740589	0.025175170808913596	-0.010229791709451033	0.010754671887043347	1442.7359126961649	1997.9025727129638	0.009401051439632355	72.21252589594822	555.1666600167989	285.59029340473717	-0.08958700983654196	0.010495583741933327	0.17042299048483087	0.19282112253415348	1.7035636947250896e-14	1.562011575742642e-14	0.19282112253415348	1.6597553195330392	158.68203832072135	173.31796167927865	62.10908826317519	NaN	0.16763610327736547	0.0734702405773762	50.246988850422994	0.05771490125772157	1.1366786705727363	-0.04089451755790006	1	0.3446421754535023	1	1	1	3	45	NaN	0.03144905143431829	1.0222292398886914	-8.201737789998148	1.0219319810536325	-6.24499002951214	1.1199531815934773	0.2869020890518972	1.1199531815934773	-0.14095871024307668	1.1199531815934773	-0.002570704489625238	1.2179002118045894	NaN	NaN	800000009	800000009	800000009	800000009	800000009	800010009	899999999	899999999	89999	89999	89	89	8	0	0	22	2	0	1	NaN	0	0	18000	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	14880	0	0	0	18000	18000	18000	18000	100	NaN	0.016844391214786092	0.08283540226760852	0.04726068767235778	0.16454270377799457	15.363113688348193	0.07832291648230184	9.221424072603775e-8	NaN	-0.007072438815902841	0.0073330173169758196	-0.003602806332316677	-0.000002570704489625238	NaN	436.85871604903787	15.024929655532759	96377.47548090278	11.399999618530273	12.43026354715558	97.32051550187006	96.9075335843828	97.73349699041579	-0.8259644998278868	0.0002779860033026329	-1	0	2.025280885607005	67.8222453591736	1.0000745202716854	-286.19111944411	9.000769109805425	-273.1499938964844	142
DATA	2026-04-03T000000_AIU-0547.ghg	2026-04-03	00:30:00	93.02	0	18000	18000	0.09028262358132531	1	NaN	-110.21308381446585	1	NaN	98.6281477440788	1	NaN	41.22343357983418	1	NaN	2.226508200156982	1	NaN	-0.03240685513702814	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.6130519912961216e-10	-1.2174129865685665e-11	-1.7800758272684712e-12	NaN	17.26090497049225	431.6717933864018	438.04318528678846	0.1	1	581.603860714578	14.545122751345355	14.759805940536495	0.1	1	0.08504090106859802	2.0356544360475723	2.0657003004856267	0	1	NaN	NaN	NaN	NaN	9	291.9077635794744	290.8329681379532	95987.57106640625	1.143493653076009	1013.4490956837357	0.025190608223913998	0.14427773137017244	0.010404795078399878	1396.5255064916512	2017.0335072663172	0.009099127966658039	69.23660422401015	620.508000774666	285.09558198738904	-0.3874904890297674	0.1995436869137055	0.19270747463183724	0.4765529696210599	-3.22143798700273e-14	-2.0931996308841764e-14	0.4765529696210599	4.136826970838104	179.2468411987688	152.75315880123117	23.8521471282776	NaN	0.2809863392790595	0.16439814358994176	17.066145477174135	0.169927064308618	-1.1174607486338255	-0.3384638187539976	0	81.40626578573739	-12.35371490036909	27.94413674125161	69.58485160195401	106.12128923329914	148.8366170531546	222.98437392823774	0.08910202813219192	1.0132499279071612	-103.13098139013361	1.021295594705319	85.74370316036791	1.1502669479951537	35.83814492078048	1.1502669479951537	1.9356447684058489	1.1502669479951537	-0.0028943589533321737	1.2760196292011141	NaN	NaN	800000009	800000009	800000009	800000009	800100009	811100009	899999999	899999999	89999	89999	89	89	10	3	5	15	6	0	0	NaN	0	0	18000	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	17403	0	0	0	18000	18000	18000	18000	100	NaN	0.15466538196624274	0.10404787254019685	0.07008303267344397	0.7615389047252796	81.63683709387797	0.23408176162481262	5.6366026009981474e-8	NaN	-0.0889925092906077	0.9161132217199122	0.04947995407712519	-0.0000028943589533321736	NaN	431.66776807814756	14.544893154403155	96374.19518375755	11.412759910583494	11.931563580089211	97.35479155455695	96.93457053714329	97.77501044951545	-0.8404436972406184	0.0002780562058970748	-1	0	2.0232717667222015	64.63927378407226	1.000088021127714	-285.7873694271487	9.000833033455743	-273.1499938964844	073
DATA	2026-04-03T003000_AIU-0547.ghg	2026-04-03	01:00:00	93.041	0	18000	18000	0.08133045309630668	1	NaN	-11.388883123939186	0	NaN	2.6509642346716538	0	NaN	-1.3639693499640277	1	NaN	0.05989376829833327	0	NaN	0.0016158628382768618	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.8468444795481487e-11	-9.393683314769128e-13	-1.4386675933785588e-13	NaN	16.860617178020444	423.0472823976044	429.0362934388282	0.1	1	556.34685842417	13.959217746406539	14.156836104185048	0.1	1	0.08520600163669603	2.0469866224512874	2.0759654765727893	0.2	0	NaN	NaN	NaN	NaN	9	292.6973202234904	291.6789122275194	95980.58441386254	1.1403482188505432	1013.1393656243987	0.025265719010451756	0.0038811161857319957	0.00995598454950463	1340.1732681499404	2127.1483602200915	0.008730652957515152	63.00328144536545	786.975092070151	284.4724146474664	-0.5920935051035237	0.36012071442516064	0.20745499342088797	0.7233942369407781	4.915004223231901e-15	-1.6884580496017098e-15	0.7233942369407781	3.6652433974430605	183.30863413983585	148.69136586016415	16.66527667783778	NaN	0.2670593893441972	0.17922833832914384	141.77407275919802	0.020455079998481975	-4.29612854635506	-0.0369119174321362	0	72.69506008273706	-11.031755826892095	24.95386171762485	62.13864398799936	94.76535279454863	132.90975473150914	199.12303191611036	0.08052653950556138	1.0099832129342872	-11.13286909592158	1.013979217747561	2.4129362380713757	1.0986466168664824	-1.2414996132735463	1.0986466168664824	0.05451595388256869	1.0986466168664824	0.00456235397991991	1.1799729161145407	NaN	NaN	800000009	800000009	800000009	800000019	800000019	811110119	899999999	899999999	89999	89999	89	89	18	51	5	24	7	4	0	NaN	0	0	18000	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	17377	0	0	0	17972	17972	17972	17972	100	NaN	0.14516875047709382	0.1292760833043358	0.08401184287685808	0.13639477035827902	4.90892897161965	0.015597870502779524	1.7117027391163914e-8	NaN	-0.009636080594871511	-0.03181156404553387	0.0013968894874368282	0.00000456235397991991	NaN	423.0471508493025	13.95919817771851	96364.77473090278	11.420000076293945	11.314633147637036	97.34759439733293	96.93364503924052	97.76153429158529	-0.8278925842659344	0.0002791611805312438	-1	0	2.035052333865377	71.91185436889086	1.0000826959590883	-275.657144012893	9.000904242551435	-273.3117455168979	057
DATA	2026-04-03T010000_AIU-0547.ghg	2026-04-03	01:30:00	93.062	0	18000	18000	0.08617565562597093	1	NaN	11.14365877231226	1	NaN	-11.669393792834619	1	NaN	-5.82097156979225	1	NaN	-0.2636125752874544	1	NaN	-0.0012928868249196424	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0489630705455446e-10	-3.4127567700840538e-12	-5.301178990873423e-13	NaN	16.850972934154168	422.7419585532213	428.63732051038704	0.1	1	548.239242908989	13.75372996020509	13.945533056008545	0.1	1	0.08516031326808864	2.044389978289889	2.0729000863115035	0	1	NaN	NaN	NaN	NaN	9	292.5399038128323	291.53586074490016	95975.13119097223	1.140932060856091	1013.0213879384653	0.025254762521867688	-0.017082094878627045	0.009813682386234502	1320.3701176243746	2108.165811070284	0.008601460790637148	62.63122714024296	787.7956934459091	284.2479369998731	-0.5232403603120134	0.4677121696425225	0.23385253375867157	0.7397446558350429	1.2457478253690434e-14	-6.224940688258231e-15	0.7397446558350429	3.395654419339066	193.79277544181338	138.20722455818662	18.428803967799382	NaN	0.2748289040411425	0.2565627955560384	-157.8990578436229	-0.018366164051922637	-0.9549475294213504	0.03508221455128676	0	71.56940929870879	-10.860933977627289	24.567462229475208	61.17645462817304	93.29795331031285	130.85170609040134	196.03970002616697	0.08480612803870564	1.0161489224769256	10.341901729407844	1.0170185804020473	-10.738015086448703	1.086736580167531	-5.356377687125329	1.086736580167531	-0.24257265293012953	1.086736580167531	-0.0037608774684731333	1.1505025348019313	NaN	NaN	800000009	800000009	800000009	800000009	800000009	810100009	899999999	899999999	89999	89999	89	89	34	17	0	4	0	0	0	NaN	0	0	18000	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	16310	17997	0	0	18000	18000	18000	18000	100	NaN	0.13930751873521888	0.28130709103753687	0.09251098133932102	0.25200180503609254	7.818794075631634	0.018740475828192618	3.8248347045160026e-8	NaN	0.008947918252412318	-0.1371610282363562	-0.006211569915595991	-0.0000037608774684731334	NaN	422.7415280887051	13.75370692931265	96366.59063346354	11.351979817284477	11.091398372915046	97.34239731449551	96.92758076392279	97.75722259415521	-0.8296528330577745	0.0002788480826032659	-1	0	2.0326375383138657	68.57244808646226	1.0000768813225958	-283.526369332209	9.00081399263276	-273.1499938964844	099
DATA	2026-04-03T013000_AIU-0547.ghg	2026-04-03	02:00:00	93.083	0	18000	18000	0.10535820041330628	1	NaN	-2.693720025401314	1	NaN	-1.9248010133469584	2	NaN	-3.2753622438926704	1	NaN	-0.04346008129197878	2	NaN	-0.0004024098644969666	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.627026649027357e-11	2.133361897526343e-12	3.339225872401847e-13	NaN	16.949099158976292	424.59911352370773	430.4832283095045	0.1	1	545.6227092200205	13.66862725152746	13.858047740526588	0.1	1	0.08540311277285219	2.045385443304698	2.073730492425793	0	1	NaN	NaN	NaN	NaN	9	291.9410002534654	291.02705629475906	95984.27555837674	1.1430726309914672	1012.9627441844715	0.0252082847107915	-0.0028162132677202246	0.009770941185351599	1312.325207560569	2041.8458942575257	0.008547961800884494	64.27151095248394	729.5206866969568	284.15589672906316	-0.5551525240594375	0.46402604905249256	0.2103503577868361	0.7534996829394519	-9.914805978114595e-15	3.909958037809735e-15	0.7534996829394519	4.134514582964897	191.89067423849704	140.10932576150296	16.210345443756548	NaN	0.3035968483296308	0.2904599309102812	880.5984097711731	0.0032932151226046117	1.3994797419174845	-0.007662807170815213	0	80.29505634756616	-12.185084581053156	27.5626944998134	68.63500648736108	104.67271550191933	146.80497179810448	219.9405991219356	0.10433768942886076	1.0097808470748368	-2.779070660841587	1.0131395272377066	-1.7627505469107214	1.0919304587482532	-2.9996069966281724	1.0919304587482532	-0.039801143876689475	1.0919304587482532	0.0005365784398612017	1.1675426082203075	NaN	NaN	800000009	800000009	800000009	800000009	800000009	811100009	899999999	899999999	89999	89999	89	89	32	10	1	2	0	0	0	NaN	0	0	18000	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	15218	18000	0	0	18000	18000	18000	18000	100	NaN	0.19428489542203836	0.3019591178674098	0.08467584853111425	0.20880454502709817	7.218507748984829	0.018953097442554145	3.323723395539462e-8	NaN	-0.002400116321087308	-0.07666310771738577	-0.0010172263845642866	5.365784398612017e-7	NaN	424.5987489010348	13.668604312601914	96386.01190538195	11.36220925871531	11.000641903347432	97.36243891927931	96.94553733825684	97.7793413035075	-0.8338028742290208	0.0002783936446002271	-1	0	2.0336701354980464	69.65355337686893	1.0000702159139845	-273.1499938964844	9.000798616833157	-273.1499938964844	123
DATA	2026-04-03T020000_AIU-0547.ghg	2026-04-03	02:30:00	93.104	0	18000	18000	0.12421365267961186	1	NaN	-12.058239669910291	1	NaN	-12.072851305636084	1	NaN	-3.4715986860199974	1	NaN	-0.2725033078843845	1	NaN	0.006185759494617155	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.5540910894841932e-10	4.889285420968154e-12	7.846605716234078e-13	NaN	16.974395040971036	424.6084491347787	430.3573762571636	0.1	1	534.0270127352658	13.35849561214338	13.539361108097122	0.1	1	0.08570371843667496	2.049085797937283	2.0768291104970293	0	1	NaN	NaN	NaN	NaN	9	291.6120194532606	290.686088871426	96016.14942339409	1.1449284033289513	1012.7821974938436	0.025170392245371567	-0.017658214350908114	0.009563621127102274	1282.975363038658	1998.4323896826504	0.00835302984823806	64.19908772807639	715.4570266439923	283.81584303439985	-0.5957889145920978	0.4549652836637505	0.21168530322170087	0.7789534695282824	1.709081809803046e-14	9.155502070813653e-15	0.7789534695282824	4.606369749298123	189.3666210250553	142.6333789749447	15.768787683361339	NaN	0.329378692907023	0.3552963731315918	251.25684426445827	0.01154197414398642	0.9987897112822908	-0.03157141315734814	0	77.71582819914302	-11.793676758804063	26.677328940163214	66.43032105899384	101.31043111636737	142.0893201401601	212.87569363409557	0.12303288058864793	1.009597207553904	-12.627198064133397	1.0134438818253864	-11.019853939823033	1.0955545664727713	-3.1688049069039956	1.0955545664727713	-0.24873549545024626	1.0955545664727713	0.009764398502219522	1.1740051084399024	NaN	NaN	800000009	800000009	800000009	800000009	800000019	811100019	899999999	899999999	89999	89999	89	89	76	37	10	6	0	0	0	NaN	0	0	18000	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	16811	604	0	0	18000	18000	18000	18000	100	NaN	0.2322730285456442	0.37017523627391324	0.10814448144362605	0.19817926560935983	7.436216009755596	0.03573650972840043	5.979938503798712e-8	NaN	-0.010889616975001126	-0.0808402563382837	-0.006345559857225098	0.000009764398502219521	NaN	424.60796276130475	13.358456675056177	96408.81637116609	11.390000343322754	10.658631826506708	97.41284712939792	96.99416480191549	97.83153294965956	-0.8373644675479995	0.00027826276823826547	-1	0	2.0376135582526533	71.97367242957931	1.0000800585597753	-293.09524473402075	9.000839121394687	-273.1499938964844	187
DATA	2026-04-03T023000_AIU-0547.ghg	2026-04-03	03:00:00	93.124	0	18000	18000	0.08922236384104974	1	NaN	-23.026200117663578	0	NaN	6.265899639408515	1	NaN	3.618260149975228	1	NaN	0.14136476781703763	1	NaN	-0.0008008712627108456	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.3805918201943176e-11	4.2978952604703875e-13	6.979381161024025e-14	NaN	17.057100499603262	425.93213134407233	431.65572028205406	0.1	1	531.0014902470858	13.259615635909547	13.437795641104493	0.1	1	0.08622969088131245	2.0569926272573236	2.0846340738176656	0.6	0	NaN	NaN	NaN	NaN	9	291.10694183180067	290.1982687276204	96020.04214518229	1.1469426113375785	1012.7165437539011	0.02512713338068964	0.009160436954544039	0.009509173777723855	1273.5303716207409	1937.7281570681912	0.008290888910853299	65.72286040099709	664.1977854474503	283.7049537219464	-0.42222722239959204	0.3553265010100349	0.2273756526108645	0.5968521065184343	-5.255032073107165e-14	8.09394199340286e-16	0.5968521065184343	3.5507251411017227	192.08238218651206	139.91761781348794	22.393043051041808	NaN	0.278911241346269	0.34963977383973177	79.88989044652763	0.03629996215780325	-3.6748434291611467	-0.07107660304909351	0	68.73505563640205	-10.430809874365826	23.594520336758595	58.753691747755745	89.60308705052412	125.66960362496846	188.27596623024326	0.08824596181643045	1.0110645519015409	-22.429736654735436	1.015192539931828	5.6721410586847405	1.1046797980834162	3.2753927031641137	1.1046797980834162	0.1279689988558684	1.1046797980834162	0.005529898893611219	1.1916471780591311	NaN	NaN	800000009	800000009	800000009	800000009	800000009	810100009	899999999	899999999	89999	89999	89	89	30	20	9	0	0	0	0	NaN	0	0	18000	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	14820	0	0	0	18000	18000	18000	18000	100	NaN	0.1777685609683994	0.4161030351315987	0.10540795157946548	0.28837966953918814	10.833193354228847	0.034776864898614056	1.6253325418508126e-7	NaN	-0.019310547264125438	0.08340747707336775	0.003258715001673455	0.000005529898893611219	NaN	425.93156421491176	13.259577643441473	96411.09896267361	11.396385436058043	10.547614302741145	97.44742698860169	97.02450796042548	97.87034713872274	-0.8458391150203016	0.00027748156250001764	-1	0	2.045559017965086	67.2592514172789	1.000092212503155	-288.0483695220965	9.00090227924453	-273.1499938964844	015
DATA	2026-04-03T030000_AIU-0547.ghg	2026-04-03	03:30:00	93.145	0	18000	18000	0.07956425855531529	1	NaN	-117.77083509986004	1	NaN	52.28630869712646	1	NaN	31.127865618713116	1	NaN	1.1787869836511118	1	NaN	-0.05160541234939701	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.511665815267896e-10	1.717345820117241e-11	2.7531101073282534e-12	NaN	17.25683993681409	430.2019479537846	436.0468932250925	0.1	1	537.6951892080467	13.404396091616395	13.586515121813925	0.1	1	0.08619894972402184	2.0494402436049666	2.0772849944659595	0	1	NaN	NaN	NaN	NaN	9	290.2931011505129	289.456219596015	96025.36200954861	1.1498833459172608	1012.7819028525072	0.025061493748724073	0.07638539654059204	0.009638181352293095	1287.507254794184	1848.4870975100314	0.008381877506543699	69.65194707220276	560.9798427158473	283.8687948710877	-0.25825448012131724	0.2012327779129024	0.18030427261646084	0.3737641477363069	4.587187259782438e-14	3.193902148625622e-14	0.3737641477363069	3.133710400941248	189.9258439882757	142.0741560117243	28.84234582043053	NaN	0.2630462519089241	0.2597128406319206	13.103760745783555	0.2213105120171813	-2.2524220591294575	-0.38444650769899585	0	66.47269812530348	-10.08748839382548	22.817926212982776	56.81986257427778	86.6538755436811	121.5332925527598	182.07901850951208	0.07837246463426234	1.0152067939500773	-112.72405954730787	1.0243858826418752	44.735467966653715	1.1687886832010166	26.63258642568455	1.1687886832010166	1.008554412438964	1.1687886832010166	-0.013657821380787276	1.310611675307106	NaN	NaN	800000009	800000009	800000009	800000009	800100009	810100009	899999999	899999999	89999	89999	89	89	26	3	6	4	0	0	0	NaN	0	0	18000	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	12119	0	0	0	18000	18000	18000	18000	100	NaN	0.15709206960144817	0.2603939879888476	0.10193962367354549	0.6088998050393898	32.73190125187906	0.07087516014608965	1.5810558228069083e-7	NaN	-0.09679365829596145	0.6765232158686443	0.02561938459809884	-0.000013657821380787276	NaN	430.2006846907487	13.404323182613902	96415.6188237594	11.399999618530273	10.70998842032748	97.44502531369527	97.01831652683681	97.8717405374315	-0.8534180896431206	0.0002772609174296828	-1	0	2.0379264608754024	63.54059843269456	1.0001141944097147	-273.1499938964844	9.001058761490716	-273.1499938964844	199
DATA	2026-04-03T033000_AIU-0547.ghg	2026-04-03	04:00:00	93.166	0	18000	18000	0.12339801152914673	1	NaN	-49.06944544904606	1	NaN	26.096077288476163	1	NaN	13.915518932491297	1	NaN	0.5880502915374399	1	NaN	-0.004271609853447858	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.0555647853706674e-10	6.405290595447884e-12	1.0197673932858759e-12	NaN	17.34344742649104	431.34681198735376	437.2235702613846	0.3	0	540.4345388876454	13.441082946460412	13.624207043410646	0.1	1	0.08604098639252637	2.0410861585147337	2.068894338931778	-0.1	0	NaN	NaN	NaN	NaN	9	289.8386739383274	288.95841278415253	96022.60007400173	1.1518151315823537	1012.7922454036863	0.02501911260511574	0.03810565889162611	0.009680931640862974	1290.9939349210208	1790.6591918935487	0.008404935284678361	72.09601585636447	499.6652569725279	283.90942257084913	-0.4166410331358309	0.3036771287961122	0.1885562781445112	0.548965407903004	-8.804420118509028e-15	1.1852111836951862e-14	0.548965407903004	3.853215916325341	188.08718308693207	143.91281691306793	20.088774614767733	NaN	0.3273125750983858	0.2693311297918062	60.5903887381213	0.04786237653193045	-1.8803379874535688	-0.12851248217850214	0	81.49266585569782	-12.366826444319189	27.973795089366764	69.65870508225514	106.23392045063297	148.99458393693126	223.2210371054702	0.12198585879461193	1.0115763642481908	-47.07197974543956	1.0159118469372945	23.534385700914154	1.1088488826569416	12.549517928130983	1.1088488826569416	0.5303250070725574	1.1088488826569416	0.00862806641484106	1.1994914869187516	NaN	NaN	800000009	800000009	800000009	800000009	800100009	810100109	899999999	899999999	89999	89999	89	89	19	11	5	6	0	0	0	NaN	0	0	18000	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	14811	0	0	0	18000	18000	18000	18000	100	NaN	0.21350388506690296	0.23031300628431514	0.09484536823239421	0.26121064120683496	20.851280223539824	0.037437320207034726	2.596678619744113e-8	NaN	-0.04035146595376877	0.3182566638524883	0.013449079755495908	0.000008628066414841059	NaN	431.3460364562445	13.441041989116929	96412.8131542607	11.390282545089722	10.751805748939505	97.45275121159024	97.01981430604722	97.88568820699057	-0.8658735069218605	0.00027637957262858343	-1	0	2.029543569849597	65.40731684403957	1.0001271491315629	-273.1499938964844	9.001122209284041	-273.1499938964844	000
